2019-04-02T11:35:20.129+0800 I COMMAND  [conn10] command note.mvvm_modules command: insert { insert: "mvvm_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2565933 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2567ms
2019-04-02T11:35:20.129+0800 I COMMAND  [conn8] command note.users command: insert { insert: "users", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 1784388 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 1786ms
2019-04-02T11:35:20.129+0800 I STORAGE  [conn11] createCollection: note.svg_modules with generated UUID: ca9ab9bc-f68e-48b5-bde4-b6570653d60d
2019-04-02T11:35:20.924+0800 I STORAGE  [conn10] createCollection: note.swiper_modules with generated UUID: dfb70990-4223-454d-9aa7-cf88bdbd7c64
2019-04-02T11:35:20.924+0800 I COMMAND  [conn11] command note.svg_modules command: create { create: "svg_modules", idIndex: { name: "_id_", ns: "note.svg_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 769363 } } } protocol:op_query 1563ms
2019-04-02T11:35:22.031+0800 I COMMAND  [conn10] command note.swiper_modules command: create { create: "swiper_modules", idIndex: { name: "_id_", ns: "note.swiper_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 793675 } } } protocol:op_query 1901ms
2019-04-02T11:35:22.047+0800 I NETWORK  [conn8] end connection 127.0.0.1:50587 (4 connections now open)
2019-04-02T11:35:22.048+0800 I NETWORK  [conn9] end connection 127.0.0.1:50588 (3 connections now open)
2019-04-02T11:35:22.048+0800 I NETWORK  [conn10] end connection 127.0.0.1:50589 (2 connections now open)
2019-04-02T11:35:22.049+0800 I NETWORK  [conn11] end connection 127.0.0.1:50598 (1 connection now open)
2019-04-02T11:35:58.050+0800 I COMMAND  [conn1] CMD: drop shop.shop
2019-04-02T11:36:40.325+0800 I COMMAND  [conn1] dropDatabase shop - starting
2019-04-02T11:36:40.325+0800 I COMMAND  [conn1] dropDatabase shop - dropping 0 collections
2019-04-02T11:36:43.393+0800 I COMMAND  [conn1] dropDatabase shop - finished
2019-04-02T11:36:43.394+0800 I COMMAND  [conn1] command shop appName: "MongoDB Shell" command: dropDatabase { dropDatabase: 1.0, lsid: { id: UUID("a86857f8-4bd6-4c97-a43e-82996a87eb18") }, $db: "shop" } numYields:0 reslen:56 locks:{ Global: { acquireCount: { r: 2, w: 1, W: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_msg 3068ms
